id,text,label,dataset_id
029-0000961-1,Don t let the title of this review fool you Despite its ominous tone it s only in reference to this episode s case Yes just like with our last episode this is another typical case of the week outing with all the drama being confined only to the case itself Unlike the previous case however this one wasn t quite so clear cut and predictable That s a good thing too as it kept me and likely many other viewers guessing for much of the episode and gave us some intriguing and genuinely unsettling moments along the way ,1,29
029-0000970-1,Hannah Ahlers 34 was confirmed as one of the victims Monday Evening by her father Dave Ahlers the Las Vegas Review Journal reports She was a wife and mother of three children and her father told the Journal that she could have lit up the world with her smile ,0,29
029-0000159-21,Osteopath Mary Bovier is found slain to death in her home in Pennsylvania Her significant other who we are told is also an osteopath was questioned and released At this time there have been no arrests and there are no suspects ,1,29
029-0000715-2,New documents detail a young girl s account of the night her father and siblings were killed in a gruesome attack ,0,29
029-0000258-15, She didn t realize the danger said Laurie ,0,29
029-0000705-53,This is Hillary Clinton s opportunity She can reach out to those who feel left behind She can make it clear that America sees them and will address their concerns ,1,29
029-0001233-12,That on its own is enough to call her judgment and morals into question ,1,29
029-0000867-15,New WikiLeaks provided e mails from Clinton aide Doug Band reveal the true nature of the Clinton cash operation No matter what the stated humanitarian goals of the Clinton Foundation every fiber and sinew of the organization is wrapped in self dealing self enrichment fraud and corruption ,1,29
029-0000584-7, Here s a breakdown of coverage for the three major networks pic twitter com 9wY725Tipa,1,29
029-0000506-8,In Commando a deposed dictator named Arius kidnaps John Matrix daughter to force him to kill the current president of Val Verde Spoiler Alert he doesn t even make it to Val Verde Instead he ices every single person who came near his daughter ,0,29
029-0001263-5,She added icily ,0,29
029-0000751-0,After the electoral college answered the call to Make America Great Again the country was hard pressed to find anyone willing or able to make America laugh again Comedian Dave Chappelle hosted SNL to do just that USA TODAY,0,29
029-0000267-15,Connecticut s senators who have pushed for tighter gun control ever since the 2012 Sandy Hook Elementary School shooting were also quick to issue statements Monday ,0,29
029-0000838-15,Nor can I imagine the president of the United States saying both sides are to blame when violence erupts from such a march yet that s what Donald Trump said in 2017 the year that race relations went backward ,1,29
029-0000301-21, 15 Obama owe BAHM uh described his former use of cocaine as using a little blow ,0,29
029-0000916-10,Of course he failed to mention the violent leftist attacks which have been going on for months ,1,29
029-0000924-29,The crazy part is he was released the next day after posting 40 000 for bail Yes that makes sense ,1,29
029-0000234-7,NOT REAL MYSTERIOUS NAZI SUBMARINE FROM WWII DISCOVERED IN GREAT LAKES,0,29
029-0000183-7,It s not just Wall Street For a long time our capitalist society has led up to this idea that the ultimate goal is to collect as much wealth as possible That movie accelerated the idea of collecting all the wealth and power you can ,1,29
029-0000254-2,Trump said it again when spelling out what would have to be in a bill to codify the Deferred Action for Childhood Arrivals program ending in March in order for him to sign it DACA protects undocumented immigrants who arrived in the U S as minors from deportation Because Obama created it through executive action there are questions about its legal and constitutional basis Attorney General Jeff Sessions announced in September that the program would be phased out for these reasons ,1,29
029-0001194-7,Chelsea Clinton made similar comments in defense of first son Barron Trump earlier this year according to CBS News ,0,29
029-0000752-0,Corrections and clarifications An earlier version of this story misstated the status of Jason Van Dyke s court proceedings ,0,29
029-0000830-22,Today I see all kinds of men willing to stand up for the flag but will we stand up for our women ,1,29
029-0001119-3,This piece completely misses what it means to be a mayor The president is nothing like a mayor and that s too bad ,0,29
029-0000166-2,On Sunday Vice President Mike Pence attended the Indianapolis Colts game against the San Francisco 49ers The VP had planned to attend the game for weeks ,1,29
029-0000807-2,Clinton dissed Trump s visit with Pe a Nieto in the course of an answer in which she portrayed herself as the much more humane candidate on immigration ,1,29
029-0000859-0,Donald Trump has said so many strange things about the 2012 terrorist attack in Benghazi it may be tempting to look past his latest tirade assuming it s more of the same But when it comes to the Republican candidate s rhetoric last night don t be too quick to dismiss it out of hand ,1,29
029-0000159-5,Many suspect this is because a small elite controls the majority of corporations and mediaand in effect the government Unhealthy ideals are being pushed on the public for the sake of profit In fact according to one Berkeley doctor conventional treatments for concerns such as cancer are less effective than forgoing treatment in the first place ,1,29
029-0000993-21,Drayton one seat Turnout 32 71 ,0,29
029-0000123-1,A video circulating on Facebook has some residents in York city crying foul while the York City Police Department is encouraging residents to not jump to conclusions ,0,29
029-0000133-26,Councilors at Large Gaffney Konnie Lukes,1,29
029-0000643-0,Ex FBI Director James Comey went rogue according to testimony Wednesday from Attorney General Jeff Sessions ,0,29
029-0000883-7,Yes certain areas such as the centre of Milan area C have congestion charging zones meaning you need to pay a fee if you wish to drive in certain areas on certain days and during certain times In addition there are toll roads and toll bridges which require you to pay a fee if you wish to use them If you do not pay these charges before you enter such areas or use such roads or bridges you will incur a fine ,1,29
029-0000206-3,Revealing that The Hollywood Reporter contacted him via his attorney regarding the woman s claims that he used colourful language in front of her spoke raunchily or dirtily with friends of mine in private conversations on the phone The woman s third claim was that the actor masturbated in front of her to which Douglas responds I remembered this woman sophisticated intelligent good sense of humour a novelist who has written books and published novels and was an active feminist and proud of it My head was reeling I just couldn t put this together ,0,29
029-0000445-14,Watch the video of his interaction with officers while in the back of a police car below Scroll down to read Bennett s letter ,0,29
029-0000258-40, What 18 year old leaves her cellphone or their clothes Her makeup She spent all of her money on makeup Her contact lenses she can t see without contacts said Laurie ,0,29
029-0000325-6,The bottom line is that our future may be one of fewer but stronger hurricanes Is that good or bad news Fewer hurricanes mean a lower chance that one hits Florida But a hurricane that does form and heads our way will likely be stronger with a more severe storm surge and higher winds ,0,29
029-0000052-4, Something tells me the Clinton side looks at me and my mother as not good enough but we re hard working Smit told the gossip site ,1,29
029-0001157-8,Sex worker theorists often point out that the reason that sex work is not valued as work is because it falls under the rubric of women s care labor things women are meant to do for free as a condition of being women This was the logic behind pioneering sex worker advocate Margo St James and her organization COYOTE s early alliance with Wages for Housework in the 70s Make no mistake sex work is work and as such it should not be an unwritten contract stipulation of every employed woman s job It should not be expected of a terrified underpaid assistant locked in a hotel room with her naked studio exec boss demanding she give him a massage worried that if she refuses she will lose her job That stark imposition of power is rightly called sexual harassment ,1,29
029-0001257-0,Maryland s diminutive and unassuming private citizen Ann Corcoran has been writing about refugee resettlement on her now famous blog Refugee Resettlement Watch since 2007 Without her work it is highly doubtful we would know nearly as much about this dangerous and wildly out of control program To know her listen to her watch her on TV she reminds you of a kindly grandmother which she is quietly but assertively lecturing us to eat our porridge You could never imagine the ire she has aroused among the radical Left and their allies in the refugee resettlement industry ,1,29
029-0000890-20,As a parent I don t like revealing everything but why do you think I am I just hope my daughter s misfortune can help other kids from suffering the same fate ,0,29
029-0000024-1, It was the most incredible thing anyone s ever seen said Trump She lied many times nothing happened to her Flynn lied and it s like they ruined his life It s very unfair As USA Today points out former FBI chief James Comey testified to the contrary before Congress We have no basis to conclude she lied to the FBI Comey said in July 2016 when he still ran the agency There s no such gray area on Flynn He admitted lying to the FBI in his plea agreement Controversy over a presidential tweet on the subject continues ,0,29
029-0000716-3,Trump s decision was met with condemnation from some and appreciation from others ,0,29
029-0000051-10,For all its powers of law making war making budget drafting and diplomacy the presidency also embodies the power of moral suasion A president uses what Theodore Roosevelt called the bully pulpit the honor and prestige of his office to stand for what is right and remind us to do likewise ,1,29
029-0000557-16,It is common for revolutionary groups such as Antifa to use methods like this to implicate their enemies in order to evoke violence and start a civil war which is what they have been working towards since Donald Trump won the presidency in November of 2016 ,1,29
029-0000889-8,These figures are surprising to no one Massive purchases of properties in Israel by French people have been spoken of for years some by immigrants and some not and a number of international investigations were opened against French people on suspicion of tax offenses and evasion on an enormous scale in France and laundering money in Israel through real estate purchases These developments apparently attracted the attention of the French tax authority which decided to target French Jews ,0,29
029-0001070-5, We have a message for the NRA National Rifle Association of America If you hurt people we ARE coming for your guns wrote Newsome ,1,29
029-0001106-3,RATE SEARCH Ready to buy your own home Compare mortgage rates today ,0,29
029-0001070-6,The message was accompanied by a video featuring Newsome speaking on how the only thing more certain than another mass shooting is the moral cowardice of Republicans who ignore it ,1,29
029-0000840-10,Previous counter terrorism campaigns have been directed at adults but new age appropriate safety advice is now being given out to engage with young people ,0,29
029-0000193-4,Comey then announced in late October shortly before the election that the FBI was reopening its investigation into Hillary s emails Apparently emails recovered in the pervert Anthony Wiener case ended up being related to the Hillary investigation Wiener was the husband of Clinton confidant Huma Abedin and reportedly Clinton emails were found on Huma s computer after Huma stated under oath that all her emails were turned over A week or so later again Comey let Hillary off again This was in spite of the fact that an email released from WikiLeaks showed that Hillary s longtime assistant Cheryl Mills ordered Hillary s email server to be bleached clean There was and is more than enough information in the public arena to have Hillary brought to court for her actions ,1,29
029-0000311-13,Ivana Trump worked for the Trump Organization after they were married She was president of Trump s Castle casino resort and the Plaza Hotel According to the New York Times she was only paid an annual salary of 1 He wrote in his book The Art of the Comeback that he regretted taking Ivana out of the role of being his wife and making her a businesswoman because business then dominated their personal lives as well ,1,29
029-0000193-8,Emailgate 2007 discovery that several top Bush administration officials violated the Presidential Records Act by using an RNC server for email communications while conducting official business followed by the deletion of millions of the same emails,1,29
029-0000322-3,Griffin and Obama both were in the Verizon Center in Washington D C for the NCAA Tournament matchup between Syracuse and Marquette Obama s concerns are in lock step with Washington Redskins coach Mike Shanahan who spoke of the need for Griffin to protect himself better following a spectacular rookie season that ended with a wrecked knee ,0,29
029-0000062-3, There was no option to throw Judge Roy Moore under the bus said Marlow If you set the standard that Roy Moore who was accused of abusing five women If you make that the standard the left is going to use it to take out President Trump ,1,29
029-0001002-4,He instead has been using DACA as a Sword of Damocles over Democrats warning he will end it if they don t come to the table on his terms ,1,29
029-0000525-10,State Department officials did not immediately respond for comment as to whether or not Spanish authorities have asked for assistance from the United States to help with the terror investigation ,0,29
029-0000230-0, Police in Voi have arrested three men suspected to belong to terror group al Shabaab,0,29
029-0000693-6, There s never been anybody in the history of politics in this nation that s been so abusive to women said Trump of the former president You can say any way you want to say it but Bill Clinton was abusive to women He continued tying Hillary to her husband s history with women Hillary Clinton attacked those same women and attacked them viciously ,1,29
